staff_id	staff_name	category
2	Erica Martinez	support
14	Jeffrey Watson	support
15	Cassandra Miller	support
16	Shawna Richardson	support
17	Jean Daniel	support
18	Nathan Garrett	support
19	Joshua Smith	support
72	Danny Hall	support
84	Manuel Conley	support
167	Brian Ramsey	support
180	Michelle Brown	support
259	Kayla Chavez	support
260	Grant Bernard	support
261	James Mendoza	support
262	Michael Ortega	support
263	Matthew Rocha	support
295	Richard Henson	support
296	Maria Castro	support
330	Daniel Hoffman	support
331	Mary Brewer	support
332	Richard Smith	support
333	Eddie Smith	support
334	Michael Schneider	support
335	Elizabeth Gonzalez	support
379	Carolyn Mclaughlin	support
393	Kevin Smith	support
469	Steven Smith	support
470	Ryan Espinoza	support
471	Justin Sharp	support
485	Jay Kelley	support
486	John Gordon	support
487	Michael Dawson	support
488	Eric Pope	support
489	Rebecca Pugh	support
490	Christopher Knight	support
491	Timothy Forbes	support
492	Stephanie Johnson	support
513	Robert Robertson	support
514	Michael Fleming	support
515	Thomas Cook	support
516	Jennifer Elliott	support
517	Edward Ortega	support
541	Christopher Palmer	support
542	Annette Price	support
543	Emily Hansen	support
572	Thomas Ramirez	support
573	Adrienne Smith	support
574	Katie Wong	support
575	Debbie Buchanan	support
576	Juan Haley	support
577	Cody Ellis	support
635	Jonathan Boyd	support
636	Lisa Berry	support
637	Valerie Ramirez	support
638	Nancy Gonzalez	support
639	Carolyn Huang	support
640	Tara Ramirez	support
664	Kristina Deleon	support
665	Raymond Olson	support
666	Barbara Jones	support
667	Kristin Thomas	support
668	Amanda Morrow	support
669	Diane Phillips	support
670	Adam Myers	support
671	Crystal Perry	support
672	Donna Hill	support
673	Trevor Davis	support
705	Thomas Salazar	support
706	Eric Cummings	support
707	Charles Long	support
708	David Burton	support
709	Stephanie Cohen	support
710	Dana Long	support
711	Sharon George	support
712	Rebecca Randall	support
713	Karen Sanchez	support
739	Robert Harris	support
740	Nicole Stokes	support
775	Kimberly Miller	support
795	Larry Gardner	support
796	Brandon Copeland	support
797	Andrea Thompson	support
798	Scott Lyons	support
799	Amanda Smith	support
800	Brian Stevens	support
801	Phyllis Lee	support
802	Ashley Moore	support
803	Kenneth Cole	support
804	Michelle Walker	support
828	Teresa Miller	support
829	Michael Thomas	support
830	Ashley Moore	support
831	Brian Cowan	support
832	Latoya Smith	support
833	Jennifer Rose	support
834	Edward Obrien	support
835	Kaylee Carter	support
836	Shannon Bryant	support
